#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
F1C.3.Ca.001	6/27/2013	7:30:00	no_data	flagstaff	1	ceiling	3	carpet	001	1	no_data
F1C.3.Ce.001	6/27/2013	7:30:00	no_data	flagstaff	1	ceiling	3	ceiling	001	1	no_data
F1C.3.Dr.001	6/27/2013	7:30:00	no_data	flagstaff	1	ceiling	3	drywall	001	1	no_data
F1C.2.Ca.001	6/27/2013	7:30:00	no_data	flagstaff	1	ceiling	2	carpet	001	1	no_data
F1C.2.Ce.001	6/27/2013	7:30:00	no_data	flagstaff	1	ceiling	2	ceiling	001	1	no_data
F1C.2.Dr.001	6/27/2013	7:30:00	no_data	flagstaff	1	ceiling	2	drywall	001	1	no_data
F1F.3.Ca.001	6/27/2013	9:20:00	no_data	flagstaff	1	floor	3	carpet	001	1	no_data
F1F.3.Ce.001	6/27/2013	9:20:00	no_data	flagstaff	1	floor	3	ceiling	001	1	no_data
F1F.3.Dr.001	6/27/2013	9:20:00	no_data	flagstaff	1	floor	3	drywall	001	1	no_data
F1F.2.Ca.001	6/27/2013	9:20:00	no_data	flagstaff	1	floor	2	carpet	001	1	no_data
F1F.2.Ce.001	6/27/2013	9:20:00	no_data	flagstaff	1	floor	2	ceiling	001	1	no_data
F1F.2.Dr.001	6/27/2013	9:20:00	no_data	flagstaff	1	floor	2	drywall	001	1	no_data
F1W.3.Ca.001	6/27/2013	9:20:00	no_data	flagstaff	1	wall	3	carpet	001	1	no_data
F1W.3.Ce.001	6/27/2013	8:30:00	no_data	flagstaff	1	wall	3	ceiling	001	1	no_data
F1W.3.Dr.001	6/27/2013	8:30:00	no_data	flagstaff	1	wall	3	drywall	001	1	no_data
F1W.2.Ca.001	6/27/2013	8:30:00	no_data	flagstaff	1	wall	2	carpet	001	1	no_data
F1W.2.Ce.001	6/27/2013	8:30:00	no_data	flagstaff	1	wall	2	ceiling	001	1	no_data
F1W.2.Dr.001	6/27/2013	8:30:00	no_data	flagstaff	1	wall	2	drywall	001	1	no_data
F2C.2.Ca.001	6/27/2103	13:15:00	no_data	flagstaff	2	ceiling	2	carpet	001	1	no_data
F2C.2.Ce.001	6/27/2103	13:15:00	no_data	flagstaff	2	ceiling	2	ceiling	001	1	no_data
F2C.2.Dr.001	6/27/2103	13:15:00	no_data	flagstaff	2	ceiling	2	drywall	001	1	no_data
F2C.3.Ca.001	6/27/2103	13:15:00	no_data	flagstaff	2	ceiling	3	carpet	001	1	no_data
F2C.3.Ce.001	6/27/2103	13:15:00	no_data	flagstaff	2	ceiling	3	ceiling	001	1	no_data
F2C.3.Dr.001	6/27/2103	13:15:00	no_data	flagstaff	2	ceiling	3	drywall	001	1	no_data
F2F.2.Ca.001	6/27/2103	12:35:00	no_data	flagstaff	2	floor	2	carpet	001	1	no_data
F2F.2.Ce.001	6/27/2103	12:35:00	no_data	flagstaff	2	floor	2	ceiling	001	1	no_data
F2F.2.Dr.001	6/27/2103	12:35:00	no_data	flagstaff	2	floor	2	drywall	001	1	no_data
F2F.3.Ca.001	6/27/2103	12:35:00	no_data	flagstaff	2	floor	3	carpet	001	1	no_data
F2F.3.Ce.001	6/27/2103	12:35:00	no_data	flagstaff	2	floor	3	ceiling	001	1	no_data
F2F.3.Dr.001	6/27/2103	12:35:00	no_data	flagstaff	2	floor	3	drywall	001	1	no_data
F2W.2.Ca.001	6/27/2103	13:20:00	no_data	flagstaff	2	wall	2	carpet	001	1	no_data
F2W.2.Ce.001	6/27/2103	13:20:00	no_data	flagstaff	2	wall	2	ceiling	001	1	no_data
F2W.2.Dr.001	6/27/2103	13:20:00	no_data	flagstaff	2	wall	2	drywall	001	1	no_data
F2W.3.Ca.001	6/27/2103	13:20:00	no_data	flagstaff	2	wall	3	carpet	001	1	no_data
F2W.3.Ce.001	6/27/2103	13:20:00	no_data	flagstaff	2	wall	3	ceiling	001	1	no_data
F2W.3.Dr.001	6/27/2103	13:20:00	no_data	flagstaff	2	wall	3	drywall	001	1	no_data
F3C.2.Ca.001	6/27/2013	11:10:00	no_data	flagstaff	3	ceiling	2	carpet	001	1	no_data
F3C.2.Ce.001	6/27/2013	11:10:00	no_data	flagstaff	3	ceiling	2	ceiling	001	1	no_data
F3C.2.Dr.001	6/27/2013	11:10:00	no_data	flagstaff	3	ceiling	2	drywall	001	1	no_data
F3C.3.Ca.001	6/27/2013	11:10:00	no_data	flagstaff	3	ceiling	3	carpet	001	1	no_data
F3C.3.Ce.001	6/27/2013	11:10:00	no_data	flagstaff	3	ceiling	3	ceiling	001	1	no_data
F3C.3.Dr.001	6/27/2013	11:10:00	no_data	flagstaff	3	ceiling	3	drywall	001	1	no_data
F3F.2.Ca.001	6/27/2013	11:35:00	no_data	flagstaff	3	floor	2	carpet	001	1	no_data
F3F.2.Ce.001	6/27/2013	11:35:00	no_data	flagstaff	3	floor	2	ceiling	001	1	no_data
