#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
S1C.3.Ca.001	5/29/2013	no_data	pre-sterilization	san_diego	1	ceiling	3	carpet	001	1	no_data
S1C.3.Ce.001	5/29/2013	no_data	pre-sterilization	san_diego	1	ceiling	3	ceiling	001	1	no_data
S1C.3.Dr.001	5/29/2013	no_data	pre-sterilization	san_diego	1	ceiling	3	drywall	001	1	no_data
S1F.3.Ca.001	5/29/2013	no_data	pre-sterilization	san_diego	1	floor	3	carpet	001	1	no_data
S1F.3.Ce.001	5/29/2013	no_data	pre-sterilization	san_diego	1	floor	3	ceiling	001	1	no_data
S1F.3.Dr.001	5/29/2013	no_data	pre-sterilization	san_diego	1	floor	3	drywall	001	1	no_data
S1W.3.Ca.001	5/29/2013	no_data	pre-sterilization	san_diego	1	wall	3	carpet	001	1	no_data
S1W.3.Ce.001	5/29/2013	no_data	pre-sterilization	san_diego	1	wall	3	ceiling	001	1	no_data
S1W.3.Dr.001	5/29/2013	no_data	pre-sterilization	san_diego	1	wall	3	drywall	001	1	no_data
S1C.3.Ca.002	5/29/2013	no_data	Post-sterilization	san_diego	1	ceiling	3	carpet	002	1	no_data
S1C.3.Ce.002	5/29/2013	no_data	Post-sterilization	san_diego	1	ceiling	3	ceiling	002	1	no_data
S1C.3.Dr.002	5/29/2013	no_data	Post-sterilization	san_diego	1	ceiling	3	drywall	002	1	no_data
S1F.3.Ca.002	5/29/2013	no_data	Post-sterilization	san_diego	1	floor	3	carpet	002	1	no_data
S1F.3.Ce.002	5/29/2013	no_data	Post-sterilization	san_diego	1	floor	3	ceiling	002	1	no_data
S1F.3.Dr.002	5/29/2013	no_data	Post-sterilization	san_diego	1	floor	3	drywall	002	1	no_data
S1W.3.Ca.002	5/29/2013	no_data	Post-sterilization	san_diego	1	wall	3	carpet	002	1	no_data
S1W.3.Ce.002	5/29/2013	no_data	Post-sterilization	san_diego	1	wall	3	ceiling	002	1	no_data
S1W.3.Dr.002	5/29/2013	no_data	Post-sterilization	san_diego	1	wall	3	drywall	002	1	no_data
S1C.2.Ca.003	5/31/2013	11:05:00	Time Zero, row 2	san_diego	1	ceiling	2	carpet	003	1	no_data
S1C.2.Ce.003	5/31/2013	11:05:00	Time Zero, row 2	san_diego	1	ceiling	2	ceiling	003	1	no_data
S1C.2.Dr.003	5/31/2013	11:05:00	Time Zero, row 2	san_diego	1	ceiling	2	drywall	003	1	no_data
S1F.2.Ca.003	5/31/2013	11:03:00	Time Zero, row 2	san_diego	1	floor	2	carpet	003	1	no_data
S1F.2.Ce.003	5/31/2013	11:03:00	Time Zero, row 2	san_diego	1	floor	2	ceiling	003	1	no_data
S1F.2.Dr.003	5/31/2013	11:03:00	Time Zero, row 2	san_diego	1	floor	2	drywall	003	1	no_data
S1W.2.Ca.003	5/31/2013	10:09:00	Time Zero, row 2	san_diego	1	wall	2	carpet	003	1	no_data
S1W.2.Ce.003	5/31/2013	10:09:00	Time Zero, row 2	san_diego	1	wall	2	ceiling	003	1	no_data
S1W.2.Dr.003	5/31/2013	10:09:00	Time Zero, row 2	san_diego	1	wall	2	drywall	003	1	no_data
S1C.3.Ca.003	5/31/2013	11:05:00	Time Zero, row 3	san_diego	1	ceiling	3	carpet	003	1	no_data
S1C.3.Ce.003	5/31/2013	11:05:00	Time Zero, row 3	san_diego	1	ceiling	3	ceiling	003	1	no_data
S1C.3.Dr.003	5/31/2013	11:05:00	Time Zero, row 3	san_diego	1	ceiling	3	drywall	003	1	no_data
S1F.3.Ca.003	5/31/2013	11:03:00	Time Zero, row 3	san_diego	1	floor	3	carpet	003	1	no_data
S1F.3.Ce.003	5/31/2013	11:03:00	Time Zero, row 3	san_diego	1	floor	3	ceiling	003	1	no_data
S1F.3.Dr.003	5/31/2013	11:03:00	Time Zero, row 3	san_diego	1	floor	3	drywall	003	1	no_data
S1W.3.Ca.003	5/31/2013	10:09:00	Time Zero, row 3	san_diego	1	wall	3	carpet	003	1	no_data
