#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
T1C.2.Ca.001	7/3/2013	11:45:00	T1C was de-sterilized 3 hours before the other T1 plates during T3 prep	toronto	1	ceiling	2	carpet	001	1	2
T1C.2.Ce.001	7/3/2013	11:47:00	"                                          """	toronto	1	ceiling	2	ceiling	001	1	2
T1C.2.Dr.001	7/3/2013	11:46:00	"                                          """	toronto	1	ceiling	2	drywall	001	1	2
T1F.2.Ca.001	7/3/2013	14:50:00	DM and JS (done right after de-sterilization) 	toronto	1	floor	2	carpet	001	1	2
T1F.2.Ce.001	7/3/2013	14:51:00	DM and JS (done right after de-sterilization) 	toronto	1	floor	2	ceiling	001	1	2
T1F.2.Dr.001	7/3/2013	14:50:00	DM and JS (done right after de-sterilization) 	toronto	1	floor	2	drywall	001	1	2
T1W.2.Ca.001	7/3/2013	14:55:00	DM and JS (done right after de-sterilization) 	toronto	1	wall	2	carpet	001	1	2
T1W.2.Ce.001	7/3/2013	14:57:00	DM and JS (done right after de-sterilization) 	toronto	1	wall	2	ceiling	001	1	2
T1W.2.Dr.001	7/3/2013	14:56:00	DM and JS (done right after de-sterilization) 	toronto	1	wall	2	drywall	001	1	2
T2C.2.Ca.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	ceiling	2	carpet	001	1	2
T2C.2.Ce.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	ceiling	2	ceiling	001	1	2
T2C.2.Dr.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	ceiling	2	drywall	001	1	2
T2F.2.Ca.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	floor	2	carpet	001	1	2
T2F.2.Ce.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	floor	2	ceiling	001	1	2
T2F.2.Dr.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	floor	2	drywall	001	1	2
T2W.2.Ca.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	wall	2	carpet	001	1	2
T2W.2.Ce.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	wall	2	ceiling	001	1	2
T2W.2.Dr.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	wall	2	drywall	001	1	2
T3C.2.Ca.001	7/3/2013	11:35:00	DM and JS (done right after de-sterilization) 	toronto	3	ceiling	2	carpet	001	1	2
T3C.2.Ce.001	7/3/2013	11:35:00	DM and JS (done right after de-sterilization) 	toronto	3	ceiling	2	ceiling	001	1	2
T3C.2.Dr.001	7/3/2013	11:35:00	DM and JS (done right after de-sterilization) 	toronto	3	ceiling	2	drywall	001	1	2
T3F.2.Ca.001	7/3/2013	11:50:00	DM and JS (done right after de-sterilization) 	toronto	3	floor	2	carpet	001	1	2
T3F.2.Ce.001	7/3/2013	11:50:00	DM and JS (done right after de-sterilization) 	toronto	3	floor	2	ceiling	001	1	2
T3F.2.Dr.001	7/3/2013	11:50:00	DM and JS (done right after de-sterilization) 	toronto	3	floor	2	drywall	001	1	2
T3W.2.Ca.001	7/3/2013	12:03:00	DM and JS (done right after de-sterilization) 	toronto	3	wall	2	carpet	001	1	2
T3W.2.Ce.001	7/3/2013	12:03:00	DM and JS (done right after de-sterilization) 	toronto	3	wall	2	ceiling	001	1	2
T3W.2.Dr.001	7/3/2013	12:03:00	DM and JS (done right after de-sterilization) 	toronto	3	wall	2	drywall	001	1	2
T1C.3.Ca.001	7/3/2013	11:50:00	T1C was de-sterilized 3 hours before the other T1 plates during T3 prep	toronto	1	ceiling	3	carpet	001	1	1
T1C.3.Ce.001	7/3/2013	11:49:00	T1C was de-sterilized 3 hours before the other T1 plates during T3 prep	toronto	1	ceiling	3	ceiling	001	1	1
T1C.3.Dr.001	7/3/2013	11:48:00	T1C was de-sterilized 3 hours before the other T1 plates during T3 prep	toronto	1	ceiling	3	drywall	001	1	1
T1F.3.Ca.001	7/3/2013	14:53:00	DM and JS (done right after de-sterilization) 	toronto	1	floor	3	carpet	001	1	1
T1F.3.Ce.001	7/3/2013	15:52:00	DM and JS (done right after de-sterilization) 	toronto	1	floor	3	ceiling	001	1	1
T1F.3.Dr.001	7/3/2013	15:52:00	DM and JS (done right after de-sterilization) 	toronto	1	floor	3	drywall	001	1	1
T1W.3.Ca.001	7/3/2013	15:00:00	DM and JS (done right after de-sterilization) 	toronto	1	wall	3	carpet	001	1	1
T1W.3.Ce.001	7/3/2013	14:59:00	DM and JS (done right after de-sterilization) 	toronto	1	wall	3	ceiling	001	1	1
T1W.3.Dr.001	7/3/2013	14:58:00	DM and JS (done right after de-sterilization) 	toronto	1	wall	3	drywall	001	1	1
T2C.3.Ca.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	ceiling	3	carpet	001	1	1
T2C.3.Ce.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	ceiling	3	ceiling	001	1	1
T2C.3.Dr.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	ceiling	3	drywall	001	1	1
T2F.3.Ca.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	floor	3	carpet	001	1	1
T2F.3.Ce.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	floor	3	ceiling	001	1	1
T2F.3.Dr.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	floor	3	drywall	001	1	1
T2W.3.Ca.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	wall	3	carpet	001	1	1
T2W.3.Ce.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	wall	3	ceiling	001	1	1
T2W.3.Dr.001	7/3/2013	10:18:00	DM and JS (done right after de-sterilization) 	toronto	2	wall	3	drywall	001	1	1
T3C.3.Ca.001	7/3/2013	11:35:00	DM and JS (done right after de-sterilization) 	toronto	3	ceiling	3	carpet	001	1	1
T3C.3.Ce.001	7/3/2013	11:35:00	DM and JS (done right after de-sterilization) 	toronto	3	ceiling	3	ceiling	001	1	1
T3C.3.Dr.001	7/3/2013	11:35:00	DM and JS (done right after de-sterilization) 	toronto	3	ceiling	3	drywall	001	1	1
T3F.3.Ca.001	7/3/2013	11:50:00	DM and JS (done right after de-sterilization) 	toronto	3	floor	3	carpet	001	1	1
T3F.3.Ce.001	7/3/2013	11:50:00	DM and JS (done right after de-sterilization) 	toronto	3	floor	3	ceiling	001	1	1
T3F.3.Dr.001	7/3/2013	11:50:00	DM and JS (done right after de-sterilization) 	toronto	3	floor	3	drywall	001	1	1
T3W.3.Ca.001	7/3/2013	12:03:00	DM and JS (done right after de-sterilization) 	toronto	3	wall	3	carpet	001	1	1
T3W.3.Ce.001	7/3/2013	12:03:00	DM and JS (done right after de-sterilization) 	toronto	3	wall	3	ceiling	001	1	1
T3W.3.Dr.001	7/3/2013	12:03:00	DM and JS (done right after de-sterilization) 	toronto	3	wall	3	drywall	001	1	1
T1C.3.Ca.002	7/5/2013	11:15:00	DM	toronto	1	ceiling	3	carpet	002	1	1
T1C.3.Ce.002	7/5/2013	11:14:00	DM	toronto	1	ceiling	3	ceiling	002	1	1
T1C.3.Dr.002	7/5/2013	11:13:00	DM	toronto	1	ceiling	3	drywall	002	1	1
T1F.3.Ca.002	7/5/2013	11:17:00	DM	toronto	1	floor	3	carpet	002	1	1
T1F.3.Ce.002	7/5/2013	11:18:00	DM	toronto	1	floor	3	ceiling	002	1	1
T1F.3.Dr.002	7/5/2013	11:18:00	DM	toronto	1	floor	3	drywall	002	1	1
T1W.3.Ca.002	7/5/2013	11:16:00	JS	toronto	1	wall	3	carpet	002	1	1
T1W.3.Ce.002	7/5/2013	11:16:00	JS	toronto	1	wall	3	ceiling	002	1	1
T1W.3.Dr.002	7/5/2013	11:15:00	JS	toronto	1	wall	3	drywall	002	1	1
T2C.3.Ca.002	7/5/2013	10:33:00	JS	toronto	2	ceiling	3	carpet	002	1	1
